iter	Passed	Remaining
0	62	62930
1	66	32972
2	69	23011
3	72	17996
4	75	14967
5	78	12954
6	81	11502
7	84	10420
8	86	9571
9	89	8898
10	93	8391
11	96	7953
12	99	7560
13	102	7219
14	106	6965
15	109	6711
16	112	6488
17	115	6280
18	118	6093
19	120	5926
20	123	5774
21	126	5639
22	129	5521
23	132	5408
24	136	5304
25	138	5207
26	141	5113
27	144	5028
28	147	4948
29	150	4872
30	153	4799
31	156	4744
32	159	4680
33	162	4622
34	165	4570
35	168	4519
36	171	4467
37	174	4418
38	177	4374
39	180	4331
40	183	4295
41	186	4254
42	189	4217
43	192	4186
44	195	4150
45	198	4119
46	201	4087
47	204	4060
48	207	4031
49	210	4002
50	213	3975
51	216	3948
52	220	3943
53	224	3928
54	227	3902
55	230	3881
56	233	3858
57	236	3837
58	239	3818
59	242	3797
60	245	3777
61	248	3755
62	251	3736
63	254	3718
64	257	3700
65	260	3685
66	263	3667
67	266	3651
68	269	3634
69	272	3617
70	275	3603
71	278	3588
72	281	3573
73	284	3557
74	287	3543
75	290	3527
76	293	3513
77	295	3498
78	298	3484
79	301	3471
80	304	3457
81	307	3443
82	310	3433
83	313	3420
84	316	3409
85	319	3397
86	322	3386
87	325	3376
88	328	3365
89	331	3354
90	334	3345
91	337	3334
92	341	3327
93	344	3320
94	347	3308
95	350	3298
96	353	3287
97	356	3278
98	359	3269
99	362	3258
100	364	3248
101	367	3239
102	370	3229
103	373	3221
104	377	3213
105	379	3204
106	382	3195
107	385	3185
108	388	3176
109	391	3168
110	394	3160
111	397	3153
112	400	3144
113	403	3136
114	406	3129
115	409	3122
116	412	3113
117	416	3109
118	418	3101
119	421	3092
120	424	3085
121	427	3077
122	430	3070
123	433	3063
124	436	3055
125	439	3047
126	442	3040
127	445	3033
128	448	3027
129	451	3021
130	454	3015
131	457	3008
132	460	3002
133	463	2996
134	466	2990
135	469	2983
136	472	2977
137	475	2970
138	478	2963
139	481	2956
140	484	2950
141	487	2943
142	490	2937
143	493	2932
144	496	2926
145	499	2920
146	502	2914
147	505	2907
148	508	2902
149	511	2896
150	514	2890
151	517	2884
152	519	2878
153	522	2872
154	525	2867
155	529	2862
156	532	2857
157	535	2852
158	538	2848
159	541	2845
160	544	2839
161	547	2834
162	550	2829
163	553	2823
164	556	2817
165	559	2812
166	562	2807
167	565	2801
168	568	2796
169	571	2790
170	574	2786
171	577	2780
172	580	2775
173	583	2770
174	586	2765
175	589	2760
176	592	2755
177	595	2749
178	598	2745
179	601	2739
180	604	2734
181	607	2729
182	610	2724
183	613	2719
184	616	2713
185	618	2708
186	622	2704
187	624	2699
188	627	2694
189	630	2689
190	633	2684
191	636	2679
192	639	2675
193	642	2669
194	645	2664
195	648	2659
196	651	2655
197	654	2650
198	657	2645
199	660	2641
200	663	2636
201	666	2632
202	669	2629
203	672	2624
204	675	2620
205	678	2616
206	681	2611
207	684	2607
208	687	2603
209	690	2598
210	693	2594
211	696	2589
212	699	2585
213	702	2581
214	705	2577
215	708	2572
216	711	2568
217	714	2563
218	717	2559
219	720	2555
220	723	2550
221	726	2546
222	729	2542
223	732	2537
224	735	2533
225	738	2529
226	741	2525
227	744	2521
228	747	2517
229	750	2513
230	753	2509
231	756	2505
232	759	2501
233	762	2496
234	765	2492
235	768	2488
236	771	2483
237	774	2480
238	777	2476
239	780	2471
240	783	2467
241	786	2463
242	789	2459
243	792	2455
244	795	2451
245	798	2447
246	801	2443
247	804	2439
248	807	2436
249	810	2432
250	813	2428
251	816	2424
252	819	2420
253	822	2416
254	825	2412
255	828	2408
256	831	2404
257	834	2400
258	837	2397
259	840	2392
260	843	2388
261	846	2384
262	849	2380
263	852	2377
264	855	2373
265	858	2369
266	861	2365
267	864	2362
268	867	2358
269	870	2353
270	873	2350
271	876	2346
272	879	2342
273	882	2338
274	885	2335
275	888	2331
276	891	2327
277	894	2323
278	897	2319
279	900	2315
280	903	2312
281	906	2308
282	909	2304
283	912	2300
284	915	2297
285	918	2293
286	921	2289
287	924	2285
288	927	2281
289	930	2277
290	933	2274
291	937	2272
292	940	2268
293	942	2264
294	945	2260
295	948	2256
296	951	2252
297	954	2249
298	957	2245
299	960	2241
300	963	2238
301	966	2234
302	970	2231
303	973	2227
304	976	2224
305	979	2220
306	982	2216
307	985	2213
308	988	2209
309	991	2205
310	994	2202
311	997	2198
312	1000	2196
313	1003	2192
314	1006	2189
315	1009	2185
316	1012	2181
317	1015	2178
318	1018	2174
319	1021	2170
320	1024	2167
321	1027	2163
322	1030	2160
323	1033	2157
324	1036	2153
325	1040	2151
326	1043	2147
327	1046	2143
328	1049	2140
329	1052	2136
330	1055	2132
331	1058	2128
332	1061	2125
333	1064	2121
334	1067	2118
335	1070	2115
336	1073	2111
337	1077	2109
338	1080	2106
339	1083	2102
340	1086	2099
341	1089	2095
342	1092	2092
343	1095	2088
344	1098	2085
345	1101	2081
346	1104	2078
347	1107	2074
348	1110	2070
349	1113	2067
350	1116	2063
351	1118	2059
352	1121	2056
353	1125	2053
354	1128	2049
355	1131	2045
356	1133	2042
357	1136	2038
358	1139	2035
359	1142	2031
360	1145	2028
361	1148	2024
362	1151	2021
363	1154	2017
364	1157	2013
365	1160	2010
366	1163	2006
367	1166	2003
368	1169	2000
369	1172	1996
370	1175	1993
371	1179	1990
372	1182	1987
373	1185	1983
374	1188	1980
375	1191	1976
376	1194	1973
377	1197	1969
378	1200	1966
379	1203	1962
380	1206	1959
381	1209	1956
382	1212	1952
383	1215	1949
384	1218	1946
385	1221	1943
386	1224	1940
387	1227	1936
388	1230	1933
389	1233	1929
390	1236	1926
391	1239	1922
392	1242	1919
393	1245	1915
394	1248	1912
395	1251	1908
396	1254	1904
397	1257	1901
398	1260	1898
399	1263	1894
400	1266	1891
401	1269	1887
402	1272	1884
403	1274	1880
404	1277	1877
405	1280	1874
406	1283	1870
407	1287	1867
408	1290	1864
409	1293	1860
410	1296	1857
411	1299	1854
412	1302	1850
413	1305	1847
414	1308	1844
415	1311	1840
416	1314	1837
417	1317	1833
418	1320	1830
419	1323	1827
420	1326	1823
421	1329	1820
422	1332	1817
423	1335	1813
